ZIP,Name,Longitude,Latitude
4016,"Louisville Metro,KY",-85.5263639,38.2478131
4020,"Louisville West,KY",-85.7584557,38.2526647
4021,"Louisville East,KY",-85.7584557,38.2526647
4022,"Bluegrass North,KY",-86.1792714,36.7682419
4023,"Bluegrass East,KY",-84.2700179,37.8393332
4030,"Stanton,KY",-83.8582525,37.8456373
4047,"Danville,KY",-84.7721702,37.6456329
4050,"Lexington North,KY",-84.5037164,38.0405837
4052,"Lexington South,KY",-84.5037164,38.0405837
4080,"Harlan,KY",-83.3218480,36.8431441
4096,"London,KY",-84.0832646,37.1289771
4101,"Kentucky View,KY",-88.1386360,37.2633857
4105,"Maysville,KY",-83.7443650,38.6411854
4110,"Ashland,KY",-82.6379387,38.4784144
4150,"Pikeville,KY",-82.5187629,37.4792672
4160,"Prestonburg,KY",-82.7715486,37.6656527
4170,"Hazard,KY",-83.1932284,37.2495400
4200,"Paducah,KY",-88.6000478,37.0833893
4210,"Bowling Green,KY",-86.4808043,36.9685219
4224,"Hopkinsville,KY",-87.4886186,36.8656008
4230,"Owensboro,KY",-87.1111676,37.7719074
4243,"Madisonville,KY",-87.4988882,37.3281005
4250,"Somerset,KY",-84.6041084,37.0920222
4271,"Campbellsville,KY",-85.3419069,37.3433974
4501,"Hamilton,OH",-84.5613355,39.3995008
4510,"Colerain,OH",-80.8086973,40.1259045
4511,"Blue Ash,OH",-84.3782734,39.2320029
4512,"Mason,OH",-84.3099390,39.3600586
4517,"Wilmington,OH",-83.8285375,39.4453393
4520,"Western Hills,OH",-83.8303979,39.9074509
4521,"Anderson KY,OH",-84.3436881,39.0902286
4523,"Grove City,OH",-83.0929600,39.8814500
4530,"West Carrollton East,OH",-84.2521632,39.6722812
4532,"West Carrollton Southwest,OH",-84.2521632,39.6722812
4535,"Piqua,OH",-84.2424449,40.1447732
4541,"Dayton,OH",-84.1916069,39.7589478
4550,"Springfield,OH",-83.8088171,39.9242266
4560,"Chillicothe,OH",-82.9824019,39.3331197
4566,"Portsmouth,OH",-82.9976742,38.7317431
4580,"Lima,OH",-84.1052256,40.7425510
4581,"Celina,OH",-84.5702338,40.5489358
4601,"Anderson,IN",-85.6802541,40.1053196
4616,"Plainfield,IN",-86.3994387,39.7042123
4620,"Indianapolis East,IN",-86.1580680,39.7684030
4621,"Indianapolis Circle,IN",-86.1050640,39.8502379
4622,"INDIANAPOLIS WEST,IN",-86.1580680,39.7684030
4623,"Indianapolis North,IN",-86.1580680,39.7684030
4624,"Castleton,IN",-86.0522220,39.9069440
4625,"Indianapolis South,IN",-86.1580680,39.7684030
4636,"Tri city,IN",-85.8506000,30.7743000
4650,"Bourbon,IN",-86.1163889,41.2956002
4651,"Elkhart,IN",-85.9766671,41.6819935
4660,"South Bend,IN",-86.2519898,41.6763545
4675,"Waterloo,IN",-85.0199666,41.4319946
4681,"Fort Wayne,IN",-85.1393513,41.0792730
4690,"Kokomo,IN",-86.1336033,40.4864270
4695,"Marion IN,IN",-85.6591442,40.5583739
4715,"Clarksville,IN",-85.7599630,38.2967362
4720,"Columbus,IN",-85.9213796,39.2014404
4724,"Versailles,IN",-85.2519035,39.0719988
4730,"Muncie,IN",-85.3863599,40.1933767
4737,"Centerville,IN",-84.9963518,39.8178246
4740,"Bloomington,IN",-86.5263857,39.1653250
4750,"Washington,IN",-87.1727890,38.6592152
4754,"Huntingburg,IN",-86.9549971,38.2989422
4770,"Evansville,IN",-87.5710898,37.9715592
4780,"Terre Haute,IN",-87.4139092,39.4667034
4790,"Lafayette,IN",-86.8752869,40.4167022
4793,"Crawfordsville,IN",-86.8744516,40.0411536
6193,"Mattoon,IL",-88.3728255,39.4830897
6245,"Olney,IL",-88.0853154,38.7308811
6280,"Centralia,IL",-89.1316944,38.5285169
6290,"Marion IL,IL",-88.9331256,37.7306054
